"","year(datosmeteo$Date)","month(datosmeteo$Date)","day(datosmeteo$Date)","mean(HiTemp)","mean(LowTemp)","mean(OutHum, na.rm = TRUE)","mean(WindSpeed)","sum(SunLight)"
"181",2015,6,30,28.4166666666667,27.625,71.7083333333333,2.525,14
"182",2015,7,1,30.0375,29.2333333333333,59.8333333333333,3.09166666666667,13
"183",2015,7,2,30.375,29.6708333333333,64.1666666666667,2.84583333333333,13
"184",2015,7,3,29.9291666666667,29.1916666666667,66.1666666666667,3.1625,13
"185",2015,7,4,30.0208333333333,29.3208333333333,63.2083333333333,3.29166666666667,13
"186",2015,7,5,30.6708333333333,29.575,65.5,2.75416666666667,13
"187",2015,7,6,29.9583333333333,29.2291666666667,65.7916666666667,2.74583333333333,13
"188",2015,7,7,27.1541666666667,26.1833333333333,79.2916666666667,1.60416666666667,13
"189",2015,7,8,27.8125,26.8291666666667,75.5,1.375,13
"190",2015,7,9,27.3,26.075,78.875,0.541666666666667,13
"191",2015,7,10,28.0375,26.825,78.0416666666667,0.9,13
"192",2015,7,11,26.975,26.2791666666667,80.3333333333333,1.27916666666667,13
"193",2015,7,12,28.6583333333333,27.7916666666667,66.75,2.03333333333333,13
"194",2015,7,13,28.4625,27.4791666666667,69.125,1.11666666666667,14
"195",2015,7,14,27.825,27.0166666666667,74.0416666666667,0.429166666666667,13
"196",2015,7,15,29.4125,28.2791666666667,67.4583333333333,1.7375,13
"197",2015,7,16,29.5375,28.4333333333333,68.6666666666667,1.2375,13
"198",2015,7,17,29.2416666666667,28.3375,68.625,1.35,14
"199",2015,7,18,27.4458333333333,26.2708333333333,77.875,0.266666666666667,13
"200",2015,7,19,27.9416666666667,26.8083333333333,75.6666666666667,1.02916666666667,14
"201",2015,7,20,28.7,27.7916666666667,65.4166666666667,1.79583333333333,13
"202",2015,7,21,28.8458333333333,27.4916666666667,65.5833333333333,1.05,13
"203",2015,7,22,28.6625,27.4541666666667,70.5,1.06666666666667,13
"204",2015,7,23,27.0083333333333,26.2416666666667,78.0833333333333,0.645833333333333,13
"205",2015,7,24,28.9,28.025,70.6666666666667,1.85416666666667,14
"206",2015,7,25,30.4666666666667,29.6791666666667,62.125,3.1875,14
"207",2015,7,26,30.3791666666667,29.6291666666667,59.2916666666667,2.89583333333333,13
"208",2015,7,27,29.9416666666667,28.8625,62.9166666666667,2.41666666666667,13
"209",2015,7,28,29.9916666666667,29.1666666666667,66.3333333333333,2.45833333333333,13
"210",2015,7,29,28.9625,28.0375,68.375,1.82916666666667,13
"211",2015,7,30,28.3875,27.3875,71.1666666666667,1.45833333333333,13
"212",2015,7,31,29.5583333333333,28.5083333333333,60.125,2.225,13
"213",2015,8,1,30.0333333333333,28.7916666666667,63.7916666666667,1.34583333333333,14
"214",2015,8,2,30.4916666666667,29.4375,66.125,2.025,13
"215",2015,8,3,30.0833333333333,29.2666666666667,64.2916666666667,2.975,13
"216",2015,8,4,30.3458333333333,29.5958333333333,60.5833333333333,3.275,13
"217",2015,8,5,30.7875,30.0333333333333,63.8333333333333,3.22916666666667,13
"218",2015,8,6,30.25,29.325,66.5416666666667,3.08333333333333,13
"219",2015,8,7,30.7833333333333,29.6166666666667,64.0416666666667,2.21666666666667,13
"220",2015,8,8,30.3416666666667,29.2458333333333,66.875,0.916666666666667,13
"221",2015,8,9,29.4958333333333,28.2666666666667,73.0416666666667,0.95,13
"222",2015,8,10,28,26.9833333333333,78.625,0.666666666666667,13
"223",2015,8,11,28.1833333333333,27.1375,73.3333333333333,1.17083333333333,13
"224",2015,8,12,29.7416666666667,28.7166666666667,63.8333333333333,2.14583333333333,13
"225",2015,8,13,30.7208333333333,29.525,58.9583333333333,1.875,13
"226",2015,8,14,29.8083333333333,28.7166666666667,64.1666666666667,1.82916666666667,14
"227",2015,8,15,29.3708333333333,28.35,66.3333333333333,1.12083333333333,13
"228",2015,8,16,28.1291666666667,26.9375,74.7916666666667,0.904166666666667,13
"229",2015,8,17,30.1666666666667,28.8708333333333,65.7083333333333,1.6875,13
"230",2015,8,18,30.1666666666667,28.7958333333333,66.6521739130435,1.50416666666667,13
"231",2015,8,19,30.1791666666667,29.1458333333333,65.5,1.76666666666667,13
"232",2015,8,20,30.3875,29.4166666666667,61.9583333333333,2.32083333333333,13
"233",2015,8,21,30.175,29.1,64.4166666666667,1.95,13
"234",2015,8,22,29.475,28.4333333333333,70.9583333333333,1.26666666666667,13
"235",2015,8,23,29.575,28.5416666666667,72.1666666666667,1.525,13
"236",2015,8,24,30.425,29.5833333333333,60.5,2.57083333333333,13
"237",2015,8,25,29.1208333333333,27.8083333333333,65.4166666666667,1.02916666666667,13
"238",2015,8,26,29.9083333333333,28.725,66.4583333333333,1.05,13
"239",2015,8,27,29.5,28.3083333333333,66.2916666666667,1.08333333333333,13
"240",2015,8,28,30.5125,29.3375,63.125,1.125,13
"241",2015,8,29,30.5916666666667,29.5041666666667,63.7083333333333,1.73333333333333,13
"242",2015,8,30,29.05,27.6625,76.875,0.554166666666667,13
"243",2015,8,31,26.5041666666667,25.4041666666667,90,0.208333333333333,13
"244",2015,9,1,27.7333333333333,26.4791666666667,76.0833333333333,0.733333333333333,13
"245",2015,9,2,28.2833333333333,27.1666666666667,70.625,0.525,13
"246",2015,9,3,28.3291666666667,27.3166666666667,69.375,0.720833333333333,13
"247",2015,9,4,28.2166666666667,26.9708333333333,74.125,0.391666666666667,13
"248",2015,9,5,29.2833333333333,28.2541666666667,72.1666666666667,0.958333333333333,13
"249",2015,9,6,28.85,27.5916666666667,66.0833333333333,1.30416666666667,13
"250",2015,9,7,30.425,29.3041666666667,62.5416666666667,1.7125,13
"251",2015,9,8,29.6041666666667,28.5625,66.8333333333333,1.93333333333333,13
"252",2015,9,9,30.0375,28.5875,68.8333333333333,1.59166666666667,13
"253",2015,9,10,27.5708333333333,26.6583333333333,77.5,0.6125,13
"254",2015,9,11,28.3166666666667,27.375,72.5,0.795833333333333,13
"255",2015,9,12,27.3458333333333,26.1625,82.7916666666667,0.308333333333333,13
"256",2015,9,13,27.9791666666667,26.9708333333333,82.4166666666667,0.325,13
